"Time (s)" "Packet Inter-arrival (ms)" "avg_OSD.flyTime [s]" "Distance (m)" "Height (m)" "Speed - x (m/s)" "Speed - y (m/s)" "Speed - z (m/s)" "Speed (m/s)"
1.0 0.16 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.56 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.136 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.146 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.146 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.152 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.033 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 17.951 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.491 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.219 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.222 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.2 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 11.778 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 13.149 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 15.249 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.54 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.233 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.212 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.071 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 11.837 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.264 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 28.747 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.571 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.181 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.232 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.221 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.053 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 28.378 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 12.332 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.553 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.58 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.045 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.065 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.027 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.411 1.45 1.773 0.0 0.0 0.0 0.0 0.0
