Time (s),Packet Interval (ms),avg_OSD.flyTime [s],Distance (m),Height (m),Speed - x (m/s),Speed - y (m/s),Speed - z (m/s),Speed (m/s)
4,55.382,4.45,0.151,0.84,0,0,-0.46,0.46
4,8.152,4.45,0.151,0.84,0,0,-0.46,0.46
4,6.02,4.45,0.151,0.84,0,0,-0.46,0.46
4,19.49,4.45,0.151,0.84,0,0,-0.46,0.46
4,4.34,4.45,0.151,0.84,0,0,-0.46,0.46
4,0.06,4.45,0.151,0.84,0,0,-0.46,0.46
4,12.135,4.45,0.151,0.84,0,0,-0.46,0.46
4,29.899,4.45,0.151,0.84,0,0,-0.46,0.46
4,17.949,4.45,0.151,0.84,0,0,-0.46,0.46
4,10.261,4.45,0.151,0.84,0,0,-0.46,0.46
4,21.38,4.45,0.151,0.84,0,0,-0.46,0.46
4,3.367,4.45,0.151,0.84,0,0,-0.46,0.46
4,6.881,4.45,0.151,0.84,0,0,-0.46,0.46
4,0.067,4.45,0.151,0.84,0,0,-0.46,0.46
4,5.667,4.45,0.151,0.84,0,0,-0.46,0.46
4,11.012,4.45,0.151,0.84,0,0,-0.46,0.46
4,21.345,4.45,0.151,0.84,0,0,-0.46,0.46
4,14.08,4.45,0.151,0.84,0,0,-0.46,0.46
4,1.723,4.45,0.151,0.84,0,0,-0.46,0.46
4,0.058,4.45,0.151,0.84,0,0,-0.46,0.46
4,14.526,4.45,0.151,0.84,0,0,-0.46,0.46
4,3.977,4.45,0.151,0.84,0,0,-0.46,0.46
4,20.739,4.45,0.151,0.84,0,0,-0.46,0.46
4,9.318,4.45,0.151,0.84,0,0,-0.46,0.46
4,21.553,4.45,0.151,0.84,0,0,-0.46,0.46
4,21.502,4.45,0.151,0.84,0,0,-0.46,0.46
4,16.586,4.45,0.151,0.84,0,0,-0.46,0.46
4,6.888,4.45,0.151,0.84,0,0,-0.46,0.46
4,16.464,4.45,0.151,0.84,0,0,-0.46,0.46
4,4.388,4.45,0.151,0.84,0,0,-0.46,0.46
4,13.107,4.45,0.151,0.84,0,0,-0.46,0.46
4,0.162,4.45,0.151,0.84,0,0,-0.46,0.46
4,13.042,4.45,0.151,0.84,0,0,-0.46,0.46
4,16.117,4.45,0.151,0.84,0,0,-0.46,0.46
4,26.943,4.45,0.151,0.84,0,0,-0.46,0.46
4,13.688,4.45,0.151,0.84,0,0,-0.46,0.46
4,16.419,4.45,0.151,0.84,0,0,-0.46,0.46
4,10.255,4.45,0.151,0.84,0,0,-0.46,0.46
4,0.244,4.45,0.151,0.84,0,0,-0.46,0.46
4,5.598,4.45,0.151,0.84,0,0,-0.46,0.46
4,3.601,4.45,0.151,0.84,0,0,-0.46,0.46
4,15.904,4.45,0.151,0.84,0,0,-0.46,0.46
4,25.585,4.45,0.151,0.84,0,0,-0.46,0.46
4,19.789,4.45,0.151,0.84,0,0,-0.46,0.46
4,0.47,4.45,0.151,0.84,0,0,-0.46,0.46
4,1.458,4.45,0.151,0.84,0,0,-0.46,0.46
4,17.331,4.45,0.151,0.84,0,0,-0.46,0.46
4,1.482,4.45,0.151,0.84,0,0,-0.46,0.46
4,22.094,4.45,0.151,0.84,0,0,-0.46,0.46
4,0.273,4.45,0.151,0.84,0,0,-0.46,0.46
4,0.043,4.45,0.151,0.84,0,0,-0.46,0.46
4,9.26,4.45,0.151,0.84,0,0,-0.46,0.46
4,11.174,4.45,0.151,0.84,0,0,-0.46,0.46
4,28.439,4.45,0.151,0.84,0,0,-0.46,0.46
4,25.353,4.45,0.151,0.84,0,0,-0.46,0.46
4,6.381,4.45,0.151,0.84,0,0,-0.46,0.46
4,5.105,4.45,0.151,0.84,0,0,-0.46,0.46
4,10.925,4.45,0.151,0.84,0,0,-0.46,0.46
4,2.002,4.45,0.151,0.84,0,0,-0.46,0.46
4,3.696,4.45,0.151,0.84,0,0,-0.46,0.46
4,1.105,4.45,0.151,0.84,0,0,-0.46,0.46
