Time,Packet Inter-arrival (ms),Time (s),avg_OSD.height [m]
2.036372,0.172,2,0.08
2.036407,0.035,2,0.08
2.051078,14.671,2,0.08
2.066653,15.575,2,0.08
2.067167,0.514,2,0.08
2.067355,0.188,2,0.08
2.06752,0.165,2,0.08
2.067713,0.193,2,0.08
2.06781,0.097,2,0.08
2.06845,0.64,2,0.08
2.099952,31.502,2,0.08
2.100462,0.51,2,0.08
2.10063,0.168,2,0.08
2.100812,0.182,2,0.08
2.100919,0.107,2,0.08
2.1307,29.781,2,0.08
2.131072,0.372,2,0.08
2.131156,0.084,2,0.08
2.133653,2.497,2,0.08
2.134178,0.525,2,0.08
2.134342,0.164,2,0.08
2.134527,0.185,2,0.08
2.13462,0.093,2,0.08
2.146805,12.185,2,0.08
2.167387,20.582,2,0.08
2.167912,0.525,2,0.08
2.168095,0.183,2,0.08
2.168284,0.189,2,0.08
2.168458,0.174,2,0.08
2.168622,0.164,2,0.08
2.169026,0.404,2,0.08
2.169375,0.349,2,0.08
2.182882,13.507,2,0.08
2.202445,19.563,2,0.08
2.203003,0.558,2,0.08
2.203229,0.226,2,0.08
2.203447,0.218,2,0.08
2.203679,0.232,2,0.08
2.203715,0.036,2,0.08
2.228261,24.546,2,0.08
2.234258,5.997,2,0.08
2.234389,0.131,2,0.08
2.234652,0.263,2,0.08
2.234773,0.121,2,0.08
2.234955,0.182,2,0.08
2.23555,0.595,2,0.08
2.266279,30.729,2,0.08
2.266793,0.514,2,0.08
2.266973,0.18,2,0.08
2.267165,0.192,2,0.08
2.267265,0.1,2,0.08
2.269939,2.674,2,0.08
2.300859,30.92,2,0.08
2.301314,0.455,2,0.08
2.301489,0.175,2,0.08
2.302036,0.547,2,0.08
2.302289,0.253,2,0.08
2.30239,0.101,2,0.08
2.302576,0.186,2,0.08
2.304233,1.657,2,0.08
2.304284,0.051,2,0.08
2.332977,28.693,2,0.08
2.333523,0.546,2,0.08
2.333986,0.463,2,0.08
2.334026,0.04,2,0.08
2.334277,0.251,2,0.08
2.334759,0.482,2,0.08
2.334971,0.212,2,0.08
2.335201,0.23,2,0.08
2.335272,0.071,2,0.08
2.366648,31.376,2,0.08
2.367215,0.567,2,0.08
2.367427,0.212,2,0.08
2.367659,0.232,2,0.08
2.367876,0.217,2,0.08
2.368093,0.217,2,0.08
2.36866,0.567,2,0.08
2.368882,0.222,2,0.08
2.369049,0.167,2,0.08
2.370557,1.508,2,0.08
2.375464,4.907,2,0.08
2.401852,26.388,2,0.08
2.405908,4.056,2,0.08
2.406532,0.624,2,0.08
2.407049,0.517,2,0.08
2.407097,0.048,2,0.08
2.408401,1.304,2,0.08
2.408453,0.052,2,0.08
2.408475,0.022,2,0.08
2.408494,0.019,2,0.08
2.431231,22.737,2,0.08
2.439385,8.154,2,0.08
2.439887,0.502,2,0.08
2.440087,0.2,2,0.08
2.44023,0.143,2,0.08
2.440432,0.202,2,0.08
2.440589,0.157,2,0.08
2.444519,3.93,2,0.08
2.444676,0.157,2,0.08
2.44476,0.084,2,0.08
2.471215,26.455,2,0.08
2.471949,0.734,2,0.08
2.472449,0.5,2,0.08
2.472619,0.17,2,0.08
2.472797,0.178,2,0.08
2.472973,0.176,2,0.08
2.473529,0.556,2,0.08
2.473761,0.232,2,0.08
2.473904,0.143,2,0.08
2.474169,0.265,2,0.08
2.484647,10.478,2,0.08
2.502089,17.442,3,0.42
2.502529,0.44,3,0.42
2.502755,0.226,3,0.42
2.502881,0.126,3,0.42
2.503424,0.543,3,0.42
2.503462,0.038,3,0.42
2.533478,30.016,3,0.42
2.533931,0.453,3,0.42
2.534104,0.173,3,0.42
2.534295,0.191,3,0.42
2.534376,0.081,3,0.42
2.547814,13.438,3,0.42
2.566955,19.141,3,0.42
2.567465,0.51,3,0.42
2.567634,0.169,3,0.42
2.567825,0.191,3,0.42
2.567901,0.076,3,0.42
2.572062,4.161,3,0.42
2.600143,28.081,3,0.42
2.600635,0.492,3,0.42
2.600803,0.168,3,0.42
2.600991,0.188,3,0.42
2.601311,0.32,3,0.42
2.62321,21.899,3,0.42
2.623425,0.215,3,0.42
2.623475,0.05,3,0.42
2.623754,0.279,3,0.42
2.623799,0.045,3,0.42
2.623879,0.08,3,0.42
2.634008,10.129,3,0.42
2.634508,0.5,3,0.42
2.634687,0.179,3,0.42
2.634873,0.186,3,0.42
2.634981,0.108,3,0.42
2.667972,32.991,3,0.42
2.668479,0.507,3,0.42
2.66866,0.181,3,0.42
2.668837,0.177,3,0.42
2.669015,0.178,3,0.42
2.669193,0.178,3,0.42
2.669613,0.42,3,0.42
2.671463,1.85,3,0.42
2.672574,1.111,3,0.42
2.681741,9.167,3,0.42
2.700695,18.954,3,0.42
2.701859,1.164,3,0.42
2.701907,0.048,3,0.42
2.701941,0.034,3,0.42
2.702014,0.073,3,0.42
2.702084,0.07,3,0.42
2.734452,32.368,3,0.42
2.734978,0.526,3,0.42
2.73517,0.192,3,0.42
2.735346,0.176,3,0.42
2.735522,0.176,3,0.42
2.735559,0.037,3,0.42
2.743164,7.605,3,0.42
2.767156,23.992,3,0.42
2.767647,0.491,3,0.42
2.767829,0.182,3,0.42
2.768008,0.179,3,0.42
2.7683,0.292,3,0.42
2.7684,0.1,3,0.42
2.773233,4.833,3,0.42
2.782757,9.524,3,0.42
2.800943,18.186,3,0.42
2.801428,0.485,3,0.42
2.801611,0.183,3,0.42
2.801789,0.178,3,0.42
2.802444,0.655,3,0.42
2.802491,0.047,3,0.42
2.83912,36.629,3,0.42
2.839779,0.659,3,0.42
2.839959,0.18,3,0.42
2.840151,0.192,3,0.42
2.840317,0.166,3,0.42
2.840505,0.188,3,0.42
2.841035,0.53,3,0.42
2.841206,0.171,3,0.42
2.841242,0.036,3,0.42
2.847645,6.403,3,0.42
2.867019,19.374,3,0.42
2.867543,0.524,3,0.42
2.867695,0.152,3,0.42
2.86813,0.435,3,0.42
2.868305,0.175,3,0.42
2.868621,0.316,3,0.42
2.868796,0.175,3,0.42
2.868976,0.18,3,0.42
2.869176,0.2,3,0.42
2.869254,0.078,3,0.42
2.874037,4.783,3,0.42
2.900926,26.889,3,0.42
2.901366,0.44,3,0.42
2.901552,0.186,3,0.42
2.902989,1.437,3,0.42
2.903148,0.159,3,0.42
2.903196,0.048,3,0.42
2.903358,0.162,3,0.42
2.903445,0.087,3,0.42
2.934285,30.84,3,0.42
2.934752,0.467,3,0.42
2.934917,0.165,3,0.42
2.935097,0.18,3,0.42
2.935271,0.174,3,0.42
2.936981,1.71,3,0.42
2.937028,0.047,3,0.42
2.937058,0.03,3,0.42
2.94365,6.592,3,0.42
2.943725,0.075,3,0.42
2.967636,23.911,3,0.42
2.968206,0.57,3,0.42
2.96833,0.124,3,0.42
2.968511,0.181,3,0.42
2.968691,0.18,3,0.42
2.969223,0.532,3,0.42
2.969408,0.185,3,0.42
2.969514,0.106,3,0.42
2.974736,5.222,3,0.42
2.985281,10.545,3,0.42
3.001906,16.625,3,0.42
3.002368,0.462,3,0.42
3.002552,0.184,3,0.42
3.003108,0.556,3,0.42
3.003725,0.617,3,0.42
3.00378,0.055,3,0.42
3.00382,0.04,3,0.42
3.003859,0.039,3,0.42
3.034102,30.243,3,0.42
3.034799,0.697,3,0.42
3.034843,0.044,3,0.42
3.036017,1.174,3,0.42
3.036067,0.05,3,0.42
3.036109,0.042,3,0.42
3.03614,0.031,3,0.42
3.036172,0.032,3,0.42
3.067816,31.644,3,0.42
3.068295,0.479,3,0.42
3.068473,0.178,3,0.42
3.068654,0.181,3,0.42
3.06883,0.176,3,0.42
3.069007,0.177,3,0.42
3.06944,0.433,3,0.42
3.075578,6.138,3,0.42
3.100993,25.415,3,0.42
3.101492,0.499,3,0.42
3.102227,0.735,3,0.42
3.102285,0.058,3,0.42
3.102378,0.093,3,0.42
3.102525,0.147,3,0.42
3.10263,0.105,3,0.42
3.13393,31.3,3,0.42
3.134426,0.496,3,0.42
3.13461,0.184,3,0.42
3.134782,0.172,3,0.42
3.134972,0.19,3,0.42
3.135775,0.803,3,0.42
3.135883,0.108,3,0.42
3.136016,0.133,3,0.42
3.145442,9.426,3,0.42
3.145703,0.261,3,0.42
3.151555,5.852,3,0.42
3.168019,16.464,3,0.42
3.168569,0.55,3,0.42
3.16873,0.161,3,0.42
3.168908,0.178,3,0.42
3.169096,0.188,3,0.42
3.169261,0.165,3,0.42
3.169836,0.575,3,0.42
3.170007,0.171,3,0.42
3.170203,0.196,3,0.42
3.170364,0.161,3,0.42
3.170421,0.057,3,0.42
3.176386,5.965,3,0.42
3.202892,26.506,3,0.42
3.203441,0.549,3,0.42
3.203613,0.172,3,0.42
3.203789,0.176,3,0.42
3.203981,0.192,3,0.42
3.204158,0.177,3,0.42
3.204358,0.2,3,0.42
3.204526,0.168,3,0.42
3.204574,0.048,3,0.42
3.235253,30.679,3,0.42
3.2358,0.547,3,0.42
3.235943,0.143,3,0.42
3.236124,0.181,3,0.42
3.236304,0.18,3,0.42
3.237061,0.757,3,0.42
3.237113,0.052,3,0.42
3.237214,0.101,3,0.42
3.247295,10.081,3,0.42
3.255011,7.716,3,0.42
3.267567,12.556,3,0.42
3.268075,0.508,3,0.42
3.26825,0.175,3,0.42
3.268428,0.178,3,0.42
3.268601,0.173,3,0.42
3.26913,0.529,3,0.42
3.269335,0.205,3,0.42
3.269443,0.108,3,0.42
3.27733,7.887,3,0.42
3.284253,6.923,3,0.42
3.301706,17.453,3,0.42
3.302164,0.458,3,0.42
3.302339,0.175,3,0.42
3.302511,0.172,3,0.42
3.305363,2.852,3,0.42
3.305918,0.555,3,0.42
3.305963,0.045,3,0.42
3.305994,0.031,3,0.42
3.334411,28.417,3,0.42
3.334739,0.328,3,0.42
3.334884,0.145,3,0.42
3.335063,0.179,3,0.42
3.335243,0.18,3,0.42
3.335418,0.175,3,0.42
3.335966,0.548,3,0.42
3.33605,0.084,3,0.42
3.367083,31.033,3,0.42
3.367539,0.456,3,0.42
3.367716,0.177,3,0.42
3.367888,0.172,3,0.42
3.368435,0.547,3,0.42
3.368609,0.174,3,0.42
3.368789,0.18,3,0.42
3.368899,0.11,3,0.42
3.378046,9.147,3,0.42
3.394736,16.69,3,0.42
3.401204,6.468,3,0.42
3.401675,0.471,3,0.42
3.40184,0.165,3,0.42
3.402444,0.604,3,0.42
3.402546,0.102,3,0.42
3.402748,0.202,3,0.42
3.402914,0.166,3,0.42
3.403255,0.341,3,0.42
3.434924,31.669,3,0.42
3.435424,0.5,3,0.42
3.435598,0.174,3,0.42
3.435781,0.183,3,0.42
3.435951,0.17,3,0.42
3.436471,0.52,3,0.42
3.436627,0.156,3,0.42
3.456818,20.191,3,0.42
3.468783,11.965,3,0.42
3.469272,0.489,3,0.42
3.471523,2.251,3,0.42
3.471589,0.066,3,0.42
3.471623,0.034,3,0.42
3.471656,0.033,3,0.42
3.471688,0.032,3,0.42
3.471721,0.033,3,0.42
3.478966,7.245,3,0.42
3.502391,23.425,4,0.86
3.502872,0.481,4,0.86
3.503078,0.206,4,0.86
3.503226,0.148,4,0.86
3.503847,0.621,4,0.86
3.503955,0.108,4,0.86
3.504133,0.178,4,0.86
3.504309,0.176,4,0.86
3.504835,0.526,4,0.86
3.505016,0.181,4,0.86
3.505057,0.041,4,0.86
3.534458,29.401,4,0.86
3.534934,0.476,4,0.86
3.5351,0.166,4,0.86
3.535281,0.181,4,0.86
3.535496,0.215,4,0.86
3.536044,0.548,4,0.86
3.536202,0.158,4,0.86
3.536383,0.181,4,0.86
3.53659,0.207,4,0.86
3.53664,0.05,4,0.86
3.568074,31.434,4,0.86
3.568591,0.517,4,0.86
3.568754,0.163,4,0.86
3.568933,0.179,4,0.86
3.56912,0.187,4,0.86
3.569699,0.579,4,0.86
3.569823,0.124,4,0.86
3.569917,0.094,4,0.86
3.571353,1.436,4,0.86
3.580182,8.829,4,0.86
3.588175,7.993,4,0.86
3.601536,13.361,4,0.86
3.601808,0.272,4,0.86
3.602048,0.24,4,0.86
3.602134,0.086,4,0.86
3.602795,0.661,4,0.86
3.602894,0.099,4,0.86
3.603043,0.149,4,0.86
3.603131,0.088,4,0.86
3.636102,32.971,4,0.86
3.636183,0.081,4,0.86
3.636223,0.04,4,0.86
3.636305,0.082,4,0.86
3.636417,0.112,4,0.86
3.636594,0.177,4,0.86
3.63677,0.176,4,0.86
3.63696,0.19,4,0.86
3.637003,0.043,4,0.86
3.669155,32.152,4,0.86
3.669445,0.29,4,0.86
3.669615,0.17,4,0.86
3.669814,0.199,4,0.86
3.670023,0.209,4,0.86
3.673128,3.105,4,0.86
3.673508,0.38,4,0.86
3.673552,0.044,4,0.86
3.680459,6.907,4,0.86
3.702373,21.914,4,0.86
3.702558,0.185,4,0.86
3.702734,0.176,4,0.86
3.703298,0.564,4,0.86
3.703484,0.186,4,0.86
3.703682,0.198,4,0.86
3.703847,0.165,4,0.86
3.703885,0.038,4,0.86
3.734005,30.12,4,0.86
3.738326,4.321,4,0.86
3.738943,0.617,4,0.86
3.739161,0.218,4,0.86
3.739506,0.345,4,0.86
3.739606,0.1,4,0.86
3.739857,0.251,4,0.86
3.740385,0.528,4,0.86
3.740425,0.04,4,0.86
3.768326,27.901,4,0.86
3.768844,0.518,4,0.86
3.768986,0.142,4,0.86
3.769164,0.178,4,0.86
3.769355,0.191,4,0.86
3.769922,0.567,4,0.86
3.770049,0.127,4,0.86
3.770182,0.133,4,0.86
3.781281,11.099,4,0.86
3.801478,20.197,4,0.86
3.802152,0.674,4,0.86
3.802198,0.046,4,0.86
3.802282,0.084,4,0.86
3.80289,0.608,4,0.86
3.803065,0.175,4,0.86
3.80325,0.185,4,0.86
3.803433,0.183,4,0.86
3.803551,0.118,4,0.86
3.839424,35.873,4,0.86
3.840279,0.855,4,0.86
3.840326,0.047,4,0.86
3.840359,0.033,4,0.86
3.840438,0.079,4,0.86
3.840989,0.551,4,0.86
3.841267,0.278,4,0.86
3.841382,0.115,4,0.86
3.841426,0.044,4,0.86
3.871395,29.969,4,0.86
3.873484,2.089,4,0.86
3.873983,0.499,4,0.86
3.87415,0.167,4,0.86
3.875343,1.193,4,0.86
3.879881,4.538,4,0.86
3.879946,0.065,4,0.86
3.87998,0.034,4,0.86
3.880005,0.025,4,0.86
3.880028,0.023,4,0.86
3.88005,0.022,4,0.86
3.882026,1.976,4,0.86
3.888333,6.307,4,0.86
3.906663,18.33,4,0.86
3.907195,0.532,4,0.86
3.907411,0.216,4,0.86
3.907635,0.224,4,0.86
3.907866,0.231,4,0.86
3.908437,0.571,4,0.86
3.908658,0.221,4,0.86
3.908876,0.218,4,0.86
3.909,0.124,4,0.86
