Time (s),Packet Interval (ms),avg_Time (s),avg_Speed (m/s),avg_Distance (m),Distance (m),avg_Height (m),Height (m)
110,3.905,109.5264828,1.03,19.32827586,20,24.9,24
110,2.851,109.5264828,1.03,19.32827586,20,24.9,24
110,2.7,109.5264828,1.03,19.32827586,20,24.9,24
110,2.829,109.5264828,1.03,19.32827586,20,24.9,24
110,9.246,109.5264828,1.03,19.32827586,20,24.9,24
110,7.15,109.5264828,1.03,19.32827586,20,24.9,24
110,10.622,109.5264828,1.03,19.32827586,20,24.9,24
110,2.757,109.5264828,1.03,19.32827586,20,24.9,24
110,11.501,109.5264828,1.03,19.32827586,20,24.9,24
110,3.653,109.5264828,1.03,19.32827586,20,24.9,24
110,7.062,109.5264828,1.03,19.32827586,20,24.9,24
110,15.018,109.5264828,1.03,19.32827586,20,24.9,24
110,3.879,109.5264828,1.03,19.32827586,20,24.9,24
110,24.263,109.5264828,1.03,19.32827586,20,24.9,24
110,13.174,109.5264828,1.03,19.32827586,20,24.9,24
110,3.727,109.5264828,1.03,19.32827586,20,24.9,24
110,1.717,109.5264828,1.03,19.32827586,20,24.9,24
110,14.299,109.5264828,1.03,19.32827586,20,24.9,24
110,4.931,109.5264828,1.03,19.32827586,20,24.9,24
110,1.928,109.5264828,1.03,19.32827586,20,24.9,24
110,29.853,109.5264828,1.03,19.32827586,20,24.9,24
110,14.999,109.5264828,1.03,19.32827586,20,24.9,24
110,13.534,109.5264828,1.03,19.32827586,20,24.9,24
110,0.361,109.5264828,1.03,19.32827586,20,24.9,24
110,2.837,109.5264828,1.03,19.32827586,20,24.9,24
110,2.878,109.5264828,1.03,19.32827586,20,24.9,24
110,2.041,109.5264828,1.03,19.32827586,20,24.9,24
110,10.316,109.5264828,1.03,19.32827586,20,24.9,24
110,5.238,109.5264828,1.03,19.32827586,20,24.9,24
110,12.687,109.5264828,1.03,19.32827586,20,24.9,24
110,2.337,109.5264828,1.03,19.32827586,20,24.9,24
110,25.308,109.5264828,1.03,19.32827586,20,24.9,24
110,3.413,109.5264828,1.03,19.32827586,20,24.9,24
110,2.289,109.5264828,1.03,19.32827586,20,24.9,24
111,27.544,111.4401071,1.1,20.26714286,20,25.85714286,26
111,8.279,111.4401071,1.1,20.26714286,20,25.85714286,26
111,1.754,111.4401071,1.1,20.26714286,20,25.85714286,26
111,6.099,111.4401071,1.1,20.26714286,20,25.85714286,26
111,5.295,111.4401071,1.1,20.26714286,20,25.85714286,26
111,9.028,111.4401071,1.1,20.26714286,20,25.85714286,26
111,2.197,111.4401071,1.1,20.26714286,20,25.85714286,26
111,43.192,111.4401071,1.1,20.26714286,20,25.85714286,26
111,5.782,111.4401071,1.1,20.26714286,20,25.85714286,26
111,19.093,111.4401071,1.1,20.26714286,20,25.85714286,26
111,1.828,111.4401071,1.1,20.26714286,20,25.85714286,26
111,2.845,111.4401071,1.1,20.26714286,20,25.85714286,26
111,2.792,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.571,111.4401071,1.1,20.26714286,20,25.85714286,26
111,9.665,111.4401071,1.1,20.26714286,20,25.85714286,26
111,10.461,111.4401071,1.1,20.26714286,20,25.85714286,26
111,4.34,111.4401071,1.1,20.26714286,20,25.85714286,26
111,14.812,111.4401071,1.1,20.26714286,20,25.85714286,26
111,7.142,111.4401071,1.1,20.26714286,20,25.85714286,26
111,15.825,111.4401071,1.1,20.26714286,20,25.85714286,26
111,9.513,111.4401071,1.1,20.26714286,20,25.85714286,26
111,22.072,111.4401071,1.1,20.26714286,20,25.85714286,26
111,2.961,111.4401071,1.1,20.26714286,20,25.85714286,26
111,12.818,111.4401071,1.1,20.26714286,20,25.85714286,26
111,4.618,111.4401071,1.1,20.26714286,20,25.85714286,26
111,6.649,111.4401071,1.1,20.26714286,20,25.85714286,26
111,14.776,111.4401071,1.1,20.26714286,20,25.85714286,26
111,13.006,111.4401071,1.1,20.26714286,20,25.85714286,26
111,0.233,111.4401071,1.1,20.26714286,20,25.85714286,26
111,15.051,111.4401071,1.1,20.26714286,20,25.85714286,26
111,14.989,111.4401071,1.1,20.26714286,20,25.85714286,26
111,7.895,111.4401071,1.1,20.26714286,20,25.85714286,26
111,4.536,111.4401071,1.1,20.26714286,20,25.85714286,26
111,15.19,111.4401071,1.1,20.26714286,20,25.85714286,26
111,10.742,111.4401071,1.1,20.26714286,20,25.85714286,26
111,5.706,111.4401071,1.1,20.26714286,20,25.85714286,26
111,14.871,111.4401071,1.1,20.26714286,20,25.85714286,26
111,19.071,111.4401071,1.1,20.26714286,20,25.85714286,26
111,17.523,111.4401071,1.1,20.26714286,20,25.85714286,26
111,13.477,111.4401071,1.1,20.26714286,20,25.85714286,26
111,4.665,111.4401071,1.1,20.26714286,20,25.85714286,26
111,0.491,111.4401071,1.1,20.26714286,20,25.85714286,26
111,15.623,111.4401071,1.1,20.26714286,20,25.85714286,26
111,12.119,111.4401071,1.1,20.26714286,20,25.85714286,26
111,5.238,111.4401071,1.1,20.26714286,20,25.85714286,26
