Time,Packet Inter-arrival (s),Time (s),avg_OSD.height [m]
9.629202,0.022059,10,1.5
9.650506,0.021304,10,1.5
9.675163,0.024657,10,1.5
9.698552,0.023389,10,1.5
9.706543,0.007991,10,1.5
9.722571,0.016028,10,1.5
9.755504,0.032933,10,1.5
9.767426,0.011922,10,1.5
9.794593,0.027167,10,1.5
9.815357,0.020764,10,1.5
9.847342,0.031985,10,1.5
9.872734,0.025392,10,1.5
9.886873,0.014139,10,1.5
9.91278,0.025907,10,1.5
9.938263,0.025483,10,1.5
9.958543,0.02028,10,1.5
9.980657,0.022114,10,1.5
10.002467,0.02181,10,1.5
10.011396,0.008929,10,1.5
10.024414,0.013018,10,1.5
10.050192,0.025778,10,1.5
10.072139,0.021947,10,1.5
10.092801,0.020662,10,1.5
10.098674,0.005873,10,1.5
10.113696,0.015022,10,1.5
10.11377,7.40E-05,10,1.5
10.119803,0.006033,10,1.5
10.140482,0.020679,10,1.5
10.179168,0.038686,10,1.5
10.189861,0.010693,10,1.5
10.21146,0.021599,10,1.5
10.233114,0.021654,10,1.5
10.253402,0.020288,10,1.5
10.275445,0.022043,10,1.5
10.295819,0.020374,10,1.5
10.316771,0.020952,10,1.5
10.316852,8.10E-05,10,1.5
10.316899,4.70E-05,10,1.5
10.316944,4.50E-05,10,1.5
10.317934,0.00099,10,1.5
10.338212,0.020278,10,1.5
10.359016,0.020804,10,1.5
10.379303,0.020287,10,1.5
10.401343,0.02204,10,1.5
10.408997,0.007654,10,1.5
10.418161,0.009164,10,1.5
10.424695,0.006534,10,1.5
10.445653,0.020958,10,1.5
10.466069,0.020416,10,1.5
10.489866,0.023797,10,1.5
10.533978,0.044112,11,1.5
10.547825,0.013847,11,1.5
10.573246,0.025421,11,1.5
10.596374,0.023128,11,1.5
10.62466,0.028286,11,1.5
10.626123,0.001463,11,1.5
10.636313,0.01019,11,1.5
10.661035,0.024722,11,1.5
10.687051,0.026016,11,1.5
10.707384,0.020333,11,1.5
10.728571,0.021187,11,1.5
10.736731,0.00816,11,1.5
10.749812,0.013081,11,1.5
10.770633,0.020821,11,1.5
10.803777,0.033144,11,1.5
10.805668,0.001891,11,1.5
10.807554,0.001886,11,1.5
10.809314,0.00176,11,1.5
10.813933,0.004619,11,1.5
10.819419,0.005486,11,1.5
10.821598,0.002179,11,1.5
10.822902,0.001304,11,1.5
10.866382,0.04348,11,1.5
10.877107,0.010725,11,1.5
10.894944,0.017837,11,1.5
10.905143,0.010199,11,1.5
10.932287,0.027144,11,1.5
10.958022,0.025735,11,1.5
10.980524,0.022502,11,1.5
11.001388,0.020864,11,1.5
11.021674,0.020286,11,1.5
11.038569,0.016895,11,1.5
11.060057,0.021488,11,1.5
11.070738,0.010681,11,1.5
11.093622,0.022884,11,1.5
11.114129,0.020507,11,1.5
11.142579,0.02845,11,1.5
11.144398,0.001819,11,1.5
11.144649,0.000251,11,1.5
11.160053,0.015404,11,1.5
11.182076,0.022023,11,1.5
11.203175,0.021099,11,1.5
11.223655,0.02048,11,1.5
11.244261,0.020606,11,1.5
11.265621,0.02136,11,1.5
11.288491,0.02287,11,1.5
11.312824,0.024333,11,1.5
11.334509,0.021685,11,1.5
11.343025,0.008516,11,1.5
11.343098,7.30E-05,11,1.5
11.343139,4.10E-05,11,1.5
11.343179,4.00E-05,11,1.5
11.344165,0.000986,11,1.5
11.355203,0.011038,11,1.5
