"Time (s)" "Packet Inter-arrival (ms)" "avg_OSD.flyTime [s]" "Distance (m)" "Height (m)"
1.0 0.193 1.45 1.134 0.0
1.0 0.61 1.45 1.134 0.0
1.0 0.186 1.45 1.134 0.0
1.0 0.215 1.45 1.134 0.0
1.0 0.181 1.45 1.134 0.0
1.0 0.204 1.45 1.134 0.0
1.0 0.066 1.45 1.134 0.0
1.0 3.926 1.45 1.134 0.0
1.0 9.519 1.45 1.134 0.0
1.0 5.68 1.45 1.134 0.0
1.0 11.445 1.45 1.134 0.0
1.0 0.544 1.45 1.134 0.0
1.0 0.07 1.45 1.134 0.0
1.0 0.183 1.45 1.134 0.0
1.0 0.205 1.45 1.134 0.0
1.0 0.559 1.45 1.134 0.0
1.0 0.187 1.45 1.134 0.0
1.0 0.23 1.45 1.134 0.0
1.0 0.165 1.45 1.134 0.0
1.0 1.602 1.45 1.134 0.0
1.0 20.797 1.45 1.134 0.0
1.0 9.271 1.45 1.134 0.0
1.0 0.473 1.45 1.134 0.0
1.0 0.204 1.45 1.134 0.0
1.0 0.194 1.45 1.134 0.0
1.0 0.633 1.45 1.134 0.0
1.0 0.163 1.45 1.134 0.0
1.0 0.198 1.45 1.134 0.0
1.0 0.2 1.45 1.134 0.0
1.0 0.22 1.45 1.134 0.0
1.0 0.034 1.45 1.134 0.0
1.0 8.681 1.45 1.134 0.0
1.0 8.322 1.45 1.134 0.0
1.0 11.925 1.45 1.134 0.0
1.0 1.684 1.45 1.134 0.0
1.0 0.504 1.45 1.134 0.0
1.0 0.202 1.45 1.134 0.0
1.0 0.191 1.45 1.134 0.0
1.0 0.649 1.45 1.134 0.0
1.0 0.164 1.45 1.134 0.0
1.0 0.207 1.45 1.134 0.0
1.0 0.189 1.45 1.134 0.0
1.0 0.195 1.45 1.134 0.0
1.0 0.104 1.45 1.134 0.0
1.0 3.49 1.45 1.134 0.0
1.0 10.489 1.45 1.134 0.0
1.0 1.555 1.45 1.134 0.0
1.0 1.166 1.45 1.134 0.0
1.0 3.213 1.45 1.134 0.0
1.0 10.824 1.45 1.134 0.0
1.0 0.511 1.45 1.134 0.0
1.0 0.191 1.45 1.134 0.0
1.0 0.201 1.45 1.134 0.0
1.0 0.195 1.45 1.134 0.0
1.0 0.604 1.45 1.134 0.0
1.0 0.198 1.45 1.134 0.0
1.0 0.2 1.45 1.134 0.0
1.0 0.197 1.45 1.134 0.0
1.0 0.199 1.45 1.134 0.0
1.0 0.069 1.45 1.134 0.0
1.0 3.68 1.45 1.134 0.0
1.0 14.525 1.45 1.134 0.0
1.0 5.732 1.45 1.134 0.0
1.0 12.892 1.45 1.134 0.0
1.0 0.518 1.45 1.134 0.0
1.0 0.2 1.45 1.134 0.0
1.0 0.198 1.45 1.134 0.0
1.0 0.197 1.45 1.134 0.0
1.0 0.56 1.45 1.134 0.0
1.0 0.197 1.45 1.134 0.0
1.0 0.2 1.45 1.134 0.0
1.0 0.174 1.45 1.134 0.0
1.0 5.111 1.45 1.134 0.0
1.0 19.818 1.45 1.134 0.0
1.0 0.511 1.45 1.134 0.0
1.0 0.205 1.45 1.134 0.0
1.0 0.2 1.45 1.134 0.0
1.0 0.149 1.45 1.134 0.0
1.0 0.071 1.45 1.134 0.0
1.0 0.708 1.45 1.134 0.0
1.0 0.198 1.45 1.134 0.0
1.0 0.197 1.45 1.134 0.0
1.0 0.067 1.45 1.134 0.0
1.0 13.834 1.45 1.134 0.0
1.0 1.251 1.45 1.134 0.0
1.0 2.149 1.45 1.134 0.0
1.0 1.747 1.45 1.134 0.0
1.0 0.217 1.45 1.134 0.0
1.0 1.559 1.45 1.134 0.0
1.0 10.452 1.45 1.134 0.0
1.0 0.536 1.45 1.134 0.0
1.0 0.195 1.45 1.134 0.0
1.0 0.371 1.45 1.134 0.0
1.0 0.067 1.45 1.134 0.0
1.0 0.269 1.45 1.134 0.0
1.0 0.427 1.45 1.134 0.0
1.0 0.077 1.45 1.134 0.0
1.0 6.075 1.45 1.134 0.0
1.0 21.752 1.45 1.134 0.0
1.0 4.511 1.45 1.134 0.0
1.0 0.479 1.45 1.134 0.0
1.0 0.073 1.45 1.134 0.0
1.0 0.191 1.45 1.134 0.0
1.0 0.198 1.45 1.134 0.0
1.0 0.193 1.45 1.134 0.0
1.0 0.955 1.45 1.134 0.0
1.0 0.137 1.45 1.134 0.0
1.0 4.141 1.45 1.134 0.0
1.0 9.355 1.45 1.134 0.0
1.0 17.099 1.45 1.134 0.0
1.0 0.532 1.45 1.134 0.0
1.0 0.191 1.45 1.134 0.0
1.0 0.202 1.45 1.134 0.0
1.0 0.198 1.45 1.134 0.0
1.0 0.192 1.45 1.134 0.0
1.0 0.261 1.45 1.134 0.0
1.0 1.768 1.45 1.134 0.0
1.0 15.052 1.45 1.134 0.0
1.0 4.624 1.45 1.134 0.0
1.0 0.557 1.45 1.134 0.0
1.0 0.422 1.45 1.134 0.0
1.0 9.58 1.45 1.134 0.0
1.0 0.292 1.45 1.134 0.0
1.0 0.203 1.45 1.134 0.0
1.0 0.199 1.45 1.134 0.0
1.0 0.286 1.45 1.134 0.0
1.0 0.134 1.45 1.134 0.0
1.0 9.13 1.45 1.134 0.0
1.0 2.236 1.45 1.134 0.0
1.0 18.009 1.45 1.134 0.0
1.0 2.326 1.45 1.134 0.0
1.0 0.647 1.45 1.134 0.0
1.0 0.09 1.45 1.134 0.0
1.0 0.318 1.45 1.134 0.0
1.0 0.059 1.45 1.134 0.0
1.0 0.525 1.45 1.134 0.0
1.0 0.039 1.45 1.134 0.0
1.0 16.27 1.45 1.134 0.0
1.0 16.092 1.45 1.134 0.0
1.0 0.52 1.45 1.134 0.0
1.0 0.2 1.45 1.134 0.0
1.0 0.198 1.45 1.134 0.0
1.0 1.3 1.45 1.134 0.0
1.0 0.042 1.45 1.134 0.0
1.0 0.023 1.45 1.134 0.0
1.0 0.023 1.45 1.134 0.0
1.0 0.062 1.45 1.134 0.0
1.0 0.147 1.45 1.134 0.0
1.0 0.125 1.45 1.134 0.0
1.0 1.807 1.45 1.134 0.0
1.0 15.42 1.45 1.134 0.0
1.0 0.066 1.45 1.134 0.0
1.0 3.345 1.45 1.134 0.0
1.0 1.274 1.45 1.134 0.0
1.0 0.18 1.45 1.134 0.0
1.0 0.053 1.45 1.134 0.0
1.0 7.665 1.45 1.134 0.0
1.0 1.257 1.45 1.134 0.0
1.0 0.041 1.45 1.134 0.0
1.0 0.025 1.45 1.134 0.0
1.0 0.023 1.45 1.134 0.0
1.0 0.384 1.45 1.134 0.0
1.0 0.057 1.45 1.134 0.0
1.0 10.747 1.45 1.134 0.0
1.0 20.252 1.45 1.134 0.0
1.0 0.548 1.45 1.134 0.0
1.0 0.636 1.45 1.134 0.0
1.0 0.193 1.45 1.134 0.0
1.0 0.196 1.45 1.134 0.0
1.0 0.065 1.45 1.134 0.0
1.0 6.94 1.45 1.134 0.0
1.0 1.699 1.45 1.134 0.0
1.0 7.381 1.45 1.134 0.0
1.0 2.599 1.45 1.134 0.0
1.0 20.073 1.45 1.134 0.0
1.0 0.52 1.45 1.134 0.0
1.0 0.741 1.45 1.134 0.0
1.0 0.033 1.45 1.134 0.0
1.0 0.025 1.45 1.134 0.0
1.0 0.32 1.45 1.134 0.0
1.0 0.5 1.45 1.134 0.0
1.0 0.029 1.45 1.134 0.0
1.0 12.881 1.45 1.134 0.0
1.0 2.146 1.45 1.134 0.0
1.0 1.214 1.45 1.134 0.0
1.0 9.751 1.45 1.134 0.0
1.0 1.382 1.45 1.134 0.0
1.0 0.058 1.45 1.134 0.0
1.0 0.025 1.45 1.134 0.0
1.0 0.023 1.45 1.134 0.0
1.0 0.028 1.45 1.134 0.0
1.0 0.544 1.45 1.134 0.0
1.0 18.278 1.45 1.134 0.0
1.0 12.59 1.45 1.134 0.0
1.0 0.549 1.45 1.134 0.0
1.0 0.198 1.45 1.134 0.0
1.0 0.196 1.45 1.134 0.0
1.0 0.207 1.45 1.134 0.0
1.0 0.033 1.45 1.134 0.0
1.0 6.466 1.45 1.134 0.0
1.0 20.24 1.45 1.134 0.0
1.0 5.569 1.45 1.134 0.0
1.0 0.544 1.45 1.134 0.0
1.0 0.197 1.45 1.134 0.0
1.0 0.208 1.45 1.134 0.0
1.0 0.185 1.45 1.134 0.0
1.0 0.56 1.45 1.134 0.0
1.0 0.191 1.45 1.134 0.0
1.0 0.035 1.45 1.134 0.0
1.0 9.708 1.45 1.134 0.0
1.0 3.015 1.45 1.134 0.0
1.0 7.512 1.45 1.134 0.0
1.0 3.013 1.45 1.134 0.0
1.0 5.991 1.45 1.134 0.0
1.0 3.172 1.45 1.134 0.0
1.0 0.054 1.45 1.134 0.0
1.0 0.026 1.45 1.134 0.0
1.0 0.022 1.45 1.134 0.0
1.0 0.023 1.45 1.134 0.0
1.0 0.03 1.45 1.134 0.0
1.0 0.021 1.45 1.134 0.0
1.0 1.318 1.45 1.134 0.0
1.0 9.248 1.45 1.134 0.0
1.0 3.96 1.45 1.134 0.0
1.0 7.053 1.45 1.134 0.0
1.0 10.196 1.45 1.134 0.0
2.0 1.235 2.45 1.274 0.08
2.0 0.048 2.45 1.274 0.08
2.0 0.025 2.45 1.274 0.08
2.0 0.023 2.45 1.274 0.08
2.0 0.064 2.45 1.274 0.08
2.0 8.757 2.45 1.274 0.08
2.0 20.248 2.45 1.274 0.08
2.0 2.279 2.45 1.274 0.08
2.0 0.977 2.45 1.274 0.08
2.0 0.04 2.45 1.274 0.08
2.0 0.025 2.45 1.274 0.08
2.0 0.075 2.45 1.274 0.08
2.0 16.843 2.45 1.274 0.08
2.0 5.806 2.45 1.274 0.08
2.0 0.346 2.45 1.274 0.08
2.0 0.562 2.45 1.274 0.08
2.0 0.777 2.45 1.274 0.08
2.0 0.654 2.45 1.274 0.08
2.0 7.133 2.45 1.274 0.08
2.0 0.526 2.45 1.274 0.08
2.0 0.194 2.45 1.274 0.08
2.0 0.2 2.45 1.274 0.08
2.0 0.153 2.45 1.274 0.08
2.0 8.334 2.45 1.274 0.08
2.0 7.525 2.45 1.274 0.08
2.0 12.743 2.45 1.274 0.08
2.0 3.098 2.45 1.274 0.08
2.0 2.079 2.45 1.274 0.08
2.0 0.335 2.45 1.274 0.08
2.0 0.197 2.45 1.274 0.08
2.0 0.193 2.45 1.274 0.08
2.0 0.196 2.45 1.274 0.08
2.0 0.572 2.45 1.274 0.08
2.0 0.189 2.45 1.274 0.08
2.0 0.208 2.45 1.274 0.08
2.0 0.062 2.45 1.274 0.08
2.0 0.574 2.45 1.274 0.08
2.0 12.557 2.45 1.274 0.08
2.0 17.669 2.45 1.274 0.08
2.0 1.179 2.45 1.274 0.08
2.0 0.045 2.45 1.274 0.08
2.0 0.028 2.45 1.274 0.08
2.0 0.028 2.45 1.274 0.08
2.0 1.564 2.45 1.274 0.08
2.0 0.778 2.45 1.274 0.08
2.0 0.041 2.45 1.274 0.08
2.0 0.027 2.45 1.274 0.08
2.0 19.423 2.45 1.274 0.08
2.0 2.785 2.45 1.274 0.08
2.0 8.056 2.45 1.274 0.08
2.0 0.984 2.45 1.274 0.08
2.0 0.043 2.45 1.274 0.08
2.0 0.026 2.45 1.274 0.08
2.0 1.409 2.45 1.274 0.08
2.0 0.044 2.45 1.274 0.08
2.0 6.91 2.45 1.274 0.08
2.0 20.264 2.45 1.274 0.08
2.0 3.051 2.45 1.274 0.08
2.0 0.805 2.45 1.274 0.08
2.0 0.048 2.45 1.274 0.08
2.0 0.068 2.45 1.274 0.08
2.0 0.195 2.45 1.274 0.08
2.0 0.192 2.45 1.274 0.08
2.0 0.562 2.45 1.274 0.08
2.0 0.18 2.45 1.274 0.08
2.0 0.147 2.45 1.274 0.08
2.0 14.992 2.45 1.274 0.08
2.0 15.951 2.45 1.274 0.08
2.0 0.498 2.45 1.274 0.08
2.0 0.207 2.45 1.274 0.08
2.0 0.192 2.45 1.274 0.08
2.0 0.195 2.45 1.274 0.08
2.0 0.54 2.45 1.274 0.08
2.0 0.2 2.45 1.274 0.08
2.0 0.063 2.45 1.274 0.08
2.0 2.701 2.45 1.274 0.08
2.0 20.279 2.45 1.274 0.08
2.0 1.958 2.45 1.274 0.08
2.0 7.357 2.45 1.274 0.08
2.0 1.025 2.45 1.274 0.08
2.0 0.049 2.45 1.274 0.08
2.0 0.03 2.45 1.274 0.08
2.0 0.073 2.45 1.274 0.08
2.0 0.113 2.45 1.274 0.08
2.0 0.224 2.45 1.274 0.08
2.0 8.341 2.45 1.274 0.08
2.0 1.085 2.45 1.274 0.08
2.0 11.435 2.45 1.274 0.08
2.0 8.816 2.45 1.274 0.08
2.0 1.076 2.45 1.274 0.08
2.0 0.505 2.45 1.274 0.08
2.0 0.207 2.45 1.274 0.08
2.0 0.194 2.45 1.274 0.08
2.0 0.556 2.45 1.274 0.08
2.0 0.198 2.45 1.274 0.08
2.0 0.207 2.45 1.274 0.08
2.0 0.035 2.45 1.274 0.08
2.0 17.271 2.45 1.274 0.08
2.0 0.908 2.45 1.274 0.08
2.0 14.006 2.45 1.274 0.08
2.0 0.541 2.45 1.274 0.08
2.0 0.208 2.45 1.274 0.08
2.0 0.19 2.45 1.274 0.08
2.0 0.2 2.45 1.274 0.08
2.0 0.115 2.45 1.274 0.08
2.0 4.074 2.45 1.274 0.08
2.0 20.866 2.45 1.274 0.08
2.0 0.741 2.45 1.274 0.08
2.0 6.404 2.45 1.274 0.08
2.0 0.526 2.45 1.274 0.08
2.0 0.2 2.45 1.274 0.08
2.0 0.195 2.45 1.274 0.08
2.0 0.193 2.45 1.274 0.08
2.0 0.526 2.45 1.274 0.08
2.0 0.079 2.45 1.274 0.08
2.0 11.458 2.45 1.274 0.08
2.0 20.26 2.45 1.274 0.08
2.0 0.544 2.45 1.274 0.08
2.0 0.652 2.45 1.274 0.08
2.0 0.196 2.45 1.274 0.08
2.0 0.196 2.45 1.274 0.08
2.0 0.605 2.45 1.274 0.08
2.0 0.197 2.45 1.274 0.08
2.0 0.199 2.45 1.274 0.08
2.0 0.199 2.45 1.274 0.08
2.0 0.2 2.45 1.274 0.08
2.0 0.065 2.45 1.274 0.08
2.0 6.341 2.45 1.274 0.08
2.0 10.875 2.45 1.274 0.08
2.0 13.32 2.45 1.274 0.08
2.0 0.612 2.45 1.274 0.08
2.0 0.107 2.45 1.274 0.08
2.0 0.201 2.45 1.274 0.08
2.0 0.196 2.45 1.274 0.08
2.0 0.561 2.45 1.274 0.08
2.0 0.2 2.45 1.274 0.08
2.0 0.202 2.45 1.274 0.08
2.0 0.142 2.45 1.274 0.08
2.0 4.835 2.45 1.274 0.08
2.0 20.266 2.45 1.274 0.08
2.0 0.447 2.45 1.274 0.08
2.0 1.454 2.45 1.274 0.08
2.0 1.679 2.45 1.274 0.08
2.0 2.184 2.45 1.274 0.08
2.0 0.517 2.45 1.274 0.08
2.0 0.208 2.45 1.274 0.08
2.0 0.275 2.45 1.274 0.08
2.0 0.107 2.45 1.274 0.08
2.0 0.56 2.45 1.274 0.08
2.0 0.2 2.45 1.274 0.08
