avg_Time(seconds) avg_TimeModified(seconds) avg_Latitude avg_Longitude avg_Altitude(feet) stdDev_Time(seconds) stdDev_TimeModified(seconds) stdDev_Latitude stdDev_Longitude stdDev_Altitude(feet)
210.45 88.25 48.07459433699999 11.648906433000002 8.780000000000001 0.2872281323269034 0.2872281323269014 2.234211494142254e-06 8.817410107456304e-06 0.18330302779823376
211.45 89.25 48.074602217999995 11.648937587 8.900000000000002 0.2872281323269034 0.2872281323269014 2.198798763655013e-06 8.809239524443567e-06 1.7763568394002505e-15
212.45 90.25 48.074606475 11.648954947 8.900000000000002 0.2872281323269034 0.2872281323269014 3.422352988486983e-07 8.918862038067573e-07 1.7763568394002505e-15
213.45 91.25 48.074607400999994 11.648954818 8.900000000000002 0.2872281323269034 0.2872281323269014 2.2241627630775697e-07 1.547126369579676e-07 1.7763568394002505e-15
214.45 92.25 48.074608942 11.648958933 8.860000000000001 0.2872281323269034 0.2872281323269014 9.881882409078925e-07 2.763273601782532e-06 0.12000000000000012
215.45 93.25 48.074614303 11.648972505 8.5 0.2872281323269034 0.2872281323269014 2.0133059875559294e-06 4.9859627955803286e-06 0.0
216.45 94.25 48.074618291 11.648984600000002 8.5 0.2872281323269034 0.2872281323269014 2.2151523713755955e-07 8.819863944379033e-07 0.0
217.45 95.25 48.074617345 11.648985187000001 8.5 0.2872281323269034 0.2872281323269014 4.6323320281323275e-07 3.6436382915168505e-07 0.0
218.45 96.25 48.074618126 11.648990695999998 8.5 0.2872281323269034 0.2872281323269014 9.602937050382102e-07 3.151425709282587e-06 0.0
219.45 97.25 48.07462018 11.648999599 8.5 0.2872281323269034 0.2872281323269014 2.7155109976257305e-07 8.591559813388974e-07 0.0
220.45 98.25 48.07461953 11.64900018 8.5 0.2872281323269034 0.2872281323269014 1.951922127287143e-07 1.2845232598783926e-07 0.0
221.45 99.25 48.074618224 11.64899609 8.5 0.2872281323269034 0.2872281323269014 9.155894275774726e-07 2.536292569847385e-06 0.0
222.45 100.25 48.07461690700001 11.648990962000003 8.5 0.2872281323269034 0.2872281323269014 1.0459923385450907e-07 1.7870646305592559e-07 0.0
223.45 101.25 48.074619035 11.648989596 8.5 0.2872281323269034 0.2872281323269014 1.4024496425592982e-06 9.563179385748062e-07 0.0
224.45 102.25 48.074626974 11.648984349000001 8.47 0.2872281323269034 0.2872281323269014 3.0912398814838484e-06 2.0024607362926395e-06 0.0900000000000002
225.45 103.25 48.074639674 11.648976360000002 8.2 0.2872281323269034 0.2872281323269014 4.204980857492569e-06 2.6111147048312894e-06 0.0
226.45 104.25 48.074655932 11.648966486 8.2 0.2872281323269034 0.2872281323269014 5.108337890341307e-06 3.045643445740975e-06 0.0
227.45 105.25 48.074673686 11.648955725 8.2 0.2872281323269034 0.2872281323269014 4.46353716309574e-06 2.732962678071621e-06 0.0
228.45 106.25 48.07468172 11.648950043000001 8.2 0.2872281323269034 0.2872281323269014 6.371969870774895e-07 7.594083221094249e-07 0.0
229.45 107.25 48.074681041999995 11.648949274 8.379999999999999 0.2872281323269034 0.2872281323269014 5.1444727489015e-07 6.118823435444548e-08 0.14696938456699105
230.45 108.25 48.074677236 11.648950811999999 8.5 0.2872281323269034 0.2872281323269014 2.001105694494938e-06 1.0156259155897665e-06 0.0
231.45 109.25 48.074667043000005 11.648955996000002 8.5 0.2872281323269034 0.2872281323269014 3.810488288979114e-06 1.954160689591739e-06 0.0
232.45 110.25 48.074651554 11.648963639 8.5 0.2872281323269034 0.2872281323269014 4.936055510361318e-06 2.462415277614501e-06 0.0
233.45 111.25 48.074633064 11.648973322 8.5 0.2872281323269034 0.2872281323269014 5.549090374658535e-06 2.994223772525856e-06 0.0
234.45 112.25 48.074620124999996 11.648979852 8.580000000000002 0.2872281323269034 0.2872281323269014 1.2308553928493016e-06 4.966447422322123e-07 0.16000000000000014
235.45 113.25 48.074619729 11.648981171 8.900000000000002 0.2872281323269034 0.2872281323269014 4.894578633317654e-07 1.0598061142446214e-06 1.7763568394002505e-15
236.45 114.25 48.074622309999995 11.648987732 8.7 0.2872281323269034 0.2872281323269014 8.88099093213135e-07 2.657546989017256e-06 0.20000000000000018
237.45 115.25 48.074625941 11.64899961 8.5 0.2872281323269034 0.2872281323269014 1.1743972924546863e-06 3.98210999339203e-06 0.0
238.45 116.25 48.074628268999994 11.649006234999998 8.5 0.2872281323269034 0.2872281323269014 2.2367163469532788e-07 1.1430223102007605e-07 0.0
239.45 117.25 48.07462900200001 11.649005754 8.5 0.2872281323269034 0.2872281323269014 2.442048326983537e-07 5.104351085723141e-07 0.0
240.45 118.25 48.07462789 11.648998942 8.5 0.2872281323269034 0.2872281323269014 7.829814820237089e-07 3.39468054460662e-06 0.0
241.45 119.25 48.07462445 11.648983194 8.5 0.2872281323269034 0.2872281323269014 1.2493118094193207e-06 5.518270018943979e-06 0.0
242.45 120.25 48.074619019 11.648961391 8.5 0.2872281323269034 0.2872281323269014 1.7710587237591664e-06 6.8572829168483304e-06 0.0
243.45 121.25 48.074612751000004 11.648937241 8.5 0.2872281323269034 0.2872281323269014 1.4602222434631942e-06 6.11405503764902e-06 0.0
244.45 122.25 48.07461011599999 11.648926158 8.5 0.2872281323269034 0.2872281323269014 2.6751448571497904e-07 8.762511053832969e-07 0.0
245.45 123.25 48.074610535 11.648929247999998 8.5 0.2872281323269034 0.2872281323269014 4.6245540301540104e-07 2.1771669662908795e-06 0.0
246.45 124.25 48.074611214 11.648934526000001 8.5 0.2872281323269034 0.2872281323269014 1.8418468889262305e-07 1.701623930138574e-06 0.0
247.45 125.25 48.074612698 11.648945944000001 8.5 0.2872281323269034 0.2872281323269014 6.520092029833693e-07 4.693647195958747e-06 0.0
248.45 126.25 48.07461623499999 11.648965255000002 8.5 0.2872281323269034 0.2872281323269014 1.202042012768717e-06 6.237892672850908e-06 0.0
249.45 127.25 48.0746179 11.648977147 8.47 0.2872281323269034 0.2872281323269014 1.8999999949037853e-07 3.7486130797490696e-07 0.0900000000000002
250.45 128.25 48.074618351999995 11.64897662 7.19 0.2872281323269034 0.2872281323268997 2.024252955834884e-07 3.1317726585559876e-07 0.40112342240263155
251.45 129.25 48.07461847399999 11.648976745999999 6.9 0.2872281323269034 0.2872281323268975 1.224091497110341e-07 2.7717142688580257e-07 0.0
252.45 130.25 48.074618611 11.648977438 6.9 0.2872281323269034 0.2872281323268975 1.0793053275703445e-07 1.5892136415997987e-07 0.0
253.45 131.25 48.074618207 11.648978215 6.9 0.2872281323269034 0.2872281323268975 4.7012870500966825e-07 3.042778336366113e-07 0.0
254.45 132.25 48.074616481999996 11.64897901 6.9 0.2872281323269034 0.2872281323268975 4.946473500044864e-07 1.509304477233142e-07 0.0
255.45 133.25 48.074615429000005 11.648978893 6.9 0.2872281323269034 0.2872281323268975 2.0578872630466153e-07 1.0383159439299161e-07 0.0
256.45 134.25 48.074615817 11.648983292 6.9 0.2872281323268975 0.2872281323268975 4.414985841871874e-07 2.9690597836438463e-06 0.0
257.45 135.25 48.074618178 11.648998119999998 6.9 0.2872281323268975 0.2872281323268975 8.623433205110469e-07 5.442602318689447e-06 0.0
258.45 136.25 48.074620056 11.64901367 6.9 0.2872281323268975 0.2872281323268975 1.369087294407202e-07 2.4499469382041445e-06 0.0
259.45 137.25 48.07461923300001 11.649013980000001 6.9 0.2872281323268975 0.2872281323268975 4.7665606013747137e-07 1.8931191197137904e-06 0.0
260.45 138.25 48.074617735000004 11.649002616999999 6.9 0.2872281323268975 0.2872281323268975 4.206245352594866e-07 4.5068948289982515e-06 0.0
261.45 139.25 48.074616411 11.648987312 6.9 0.2872281323268975 0.2872281323268975 2.4341117489932495e-07 2.8762016621671924e-06 0.0
262.45 140.25 48.074617026000006 11.64898567 6.9 0.2872281323268975 0.2872281323268975 1.7732456180182328e-07 2.5915246481282365e-07 0.0
263.45 141.25 48.074616576 11.648985409 6.9 0.2872281323268975 0.2872281323268975 2.073258302621987e-07 4.1382242602284643e-07 0.0
