Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
,,,17.874,18.52,1.167,76,180,66
,,,9.445,2.337,4.249,102,85,95
,,,21.516,17.582,24.713,76,76,66
,,,20.258,0.067,2.429,128,76,95
,,,20.358,10.435,25.04,76,154,95
,,,20.261,10.273,16.631,102,76,66
,,,1.079,20.265,3.321,79,154,66
,,,8.648,32.84,5.03,84,85,95
,,,10.931,3.028,24.999,102,180,95
,,,20.267,9.775,1.687,76,79,90
,,,20.258,0.365,3.137,128,76,118
,,,20.258,8.125,20.172,102,85,95
,,,20.263,6.383,5.413,76,76,66
,,,9.291,0.061,0.432,79,76,66
,,,0.066,5.522,3.331,76,92,74
,,,1.119,1.954,15.841,79,154,95
,,,9.767,17.937,22.273,102,74,66
,,,20.9,32.876,1.055,76,154,66
,,,20.7,14.613,1.118,128,85,66
,,,20.259,2.496,0.514,102,74,95
,,,20.272,8.95,0.517,76,180,66
,,,20.321,8.44,1.161,102,85,66
,,,20.336,4.21,0.931,76,85,66
,,,20.291,2.723,0.961,128,76,66
,,,18.706,29.995,1.044,74,85,66
,,,1.611,0.059,0.738,102,101,66
,,,16.317,4.445,1.273,74,154,66
,,,3.941,15.657,0.702,76,154,66
,,,22.611,24.839,4.347,102,85,66
,,,20.485,14.324,13.367,102,180,95
,,,9.515,3.489,25.016,74,85,95
,,,1.154,16.498,7.124,102,154,66
,,,0.804,11.458,0.26,74,76,66
,,,1.058,20.962,17.647,102,128,95
,,,1.225,32.131,2.108,80,180,83
,,,0.909,0.183,9.754,108,85,66
,,,0.363,13.568,0.535,80,102,66
,,,5.408,13.098,12.559,102,85,95
,,,20.474,6.143,17.403,102,88,80
,,,20.35,2.103,7.583,76,76,95
,,,20.256,3.165,21.86,102,128,66
,,,20.312,36.26,0.389,102,154,66
,,,20.254,11.636,4.228,102,76,95
,,,20.49,12.345,25.058,102,85,95
,,,21.716,8.417,0.877,76,180,66
