Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
3287.54,1786.14,,0.526,0.501,0.927,1449,1514,1514
2790.72,2777.52,,0.204,27.817,0.179,84,1514,568
1947.68,2721.42,,0.205,13.91,28.536,1514,1514,985
2730.64,3046.2,,0.149,0.421,14.826,1514,76,1514
2954.26,2871.56,,0.036,0.133,0.286,969,1514,786
3111,887.384,,0.713,40.993,29.971,1514,1514,1514
2086.08,1630.93,,0.181,0.49,0.468,1514,1514,1514
1863.66,1740.73,,0.206,0.119,0.538,871,1514,1514
1061.13,1874.58,,0.97,15.743,0.747,515,679,1514
1392.22,308.688,,5.438,8.785,0.605,86,1078,1301
2770.3,1843.32,,12.704,16.484,17.27,1514,102,985
2874.68,1449.49,,18.395,0.532,10.256,1514,1514,1514
2885.8,2112.18,,0.495,0.052,0.469,251,1514,1514
2079.65,2180.14,,0.186,40.758,0.525,1514,1514,1514
1521,1550.02,,0.192,0.422,0.641,1514,1514,1343
3059.75,2180.57,,0.742,0.22,28.35,1514,1514,1514
3070.45,3182.59,,0.173,0.134,0.534,939,1514,1514
1366.54,2547.7,,0.167,21.039,0.273,1078,1514,685
2456.25,3125.08,,0.156,12.034,23.998,531,1514,985
3065.5,2510.12,,0.191,8.911,50.049,1514,1514,1514
3078.32,1877.05,,0.195,0.096,0.435,1514,1514,1514
2984.91,2547.15,,0.228,0.085,0.463,1514,1514,1166
2984.22,2574.02,,0.123,0.989,13.998,1302,1107,985
3134.71,3046.55,,0.001,7.603,15.191,78,76,1514
2565.39,2256.11,,2.85,10.023,0.479,116,79,1514
2661.45,2702.1,,0.421,22.504,0.534,1514,76,1445
2617.02,173.2,,0.647,0.107,29.12,1514,79,1514
2304.36,1913.15,,0.664,0.229,0.46,1514,79,1514
2825.3,1519.78,,7.241,0.299,0.954,1514,697,989
2475.26,2003.4,,8.576,0.037,18.88,364,102,985
1933.35,1115.61,,0.668,41.155,9.72,1514,84,1514
2277.34,1523.28,,8.829,0.514,0.531,1514,1514,1514
1078.65,2243.16,,0.511,0.22,0.877,1514,1514,1445
1168.93,3034.21,,0.198,0.134,28.988,858,1514,1514
1120.72,1787.64,,0.189,8.482,0.548,492,1514,1514
982.496,2626.86,,0.597,31.8,0.526,76,1514,1514
1593.83,1416.44,,0.164,1.267,0.33,1514,1514,205
2329.42,1871.44,,0.218,0.468,23.391,1514,1514,985
1922.99,1815.45,,0.129,0.239,49.589,1514,1135,1514
2304.13,2011.82,,9.488,0.201,0.561,1464,128,1514
2153.62,1140.59,,0.202,12.335,0.578,84,84,1514
1843.49,1047.42,,16.494,5.857,0.407,975,1514,169
2204.91,1021.69,,0.516,0.416,13.455,975,1514,985
2172.41,1106.32,,0.204,0.16,30.246,975,1514,1514
